activity,timestamp
WeightTraining,2025-05-27T20:08:22Z
WeightTraining,2025-05-29T13:27:15Z
Ride,2025-06-01T13:24:57Z
Swim,2025-06-03T17:21:20Z
WeightTraining,2025-06-04T17:29:13Z
Ride,2025-06-06T00:03:58Z
Yoga,2025-06-06T16:47:25Z
Swim,2025-06-06T17:21:43Z
Pilates,2025-06-06T21:10:12Z
Ride,2025-06-08T19:32:27Z
Yoga,2025-06-09T21:35:03Z
Swim,2025-06-09T22:22:41Z
Pilates,2025-06-10T02:09:57Z
Run,2025-06-10T13:24:00Z
WeightTraining,2025-06-10T17:51:27Z
WeightTraining,2025-06-11T17:34:35Z
Chess,2025-06-12T19:05:25.775793+00:00
